ssnumber|songid|post_title|song_artist|song_title
001470221661|19306915|SANGRE GUERRERA|DAREYES DE LA SIERRA|SANGRE GUERRERA
001470221661|18162386|DE TU OíDO A TU OMBLIGO|DAREYES DE LA SIERRA|DE TU OíDO A TU OMBLIGO
001470221661|19306880|GUERRERO MODERNO|DAREYES DE LA SIERRA|GUERRERO MODERNO
002340210162|17404273|COURAGEOUS|CASTING CROWNS|COURAGEOUS
002340210162|17531120|JESUS, FRIEND OF SINNERS|CASTING CROWNS|JESUS, FRIEND OF SINNERS
002340210162|17531063|THE WELL|CASTING CROWNS|THE WELL
002510177197|16247079|CRAZY GIRL|ELI YOUNG BAND|CRAZY GIRL
002510177197|16769948|EVEN IF IT BREAKS YOUR HEART|ELI YOUNG BAND|EVEN IF IT BREAKS YOUR HEART
002510177197|16769928|I LOVE YOU|ELI YOUNG BAND|I LOVE YOU
002520076680|15801910|A LITTLE LESS COMFORTABLE|CARTER'S CHORD|A LITTLE LESS COMFORTABLE
002520076680|16866079|LOVE A LITTLE BIGGER|CARTER'S CHORD|LOVE A LITTLE BIGGER
002520076680|16866052|SIMPLE LITTLE SCREWED UP LIFE|CARTER'S CHORD|SIMPLE LITTLE SCREWED UP LIFE
002520076813|16377670|ALLIGATOR SKY|OWL CITY FEAT. SHAWN CHRYSTOPHER|ALLIGATOR SKY
002520076813|16643798|GALAXIES|OWL CITY|GALAXIES
002520076813|16866192|DEER IN THE HEADLIGHTS|OWL CITY|DEER IN THE HEADLIGHTS
002520077681|15026108|WAITING OUTSIDE THE LINES|GREYSON CHANCE|WAITING OUTSIDE THE LINES
002520077681|16916582|UNFRIEND YOU|GREYSON CHANCE|UNFRIEND YOU
002520077681|17464335|HOLD ON 'TIL THE NIGHT|GREYSON CHANCE|HOLD ON 'TIL THE NIGHT
002520078365|3202879|I'M THAT KIND OF GIRL|PATTY LOVELESS|I'M THAT KIND OF GIRL
002520078365|3202533|TIMBER I'M FALLING IN LOVE|PATTY LOVELESS|TIMBER I'M FALLING IN LOVE
002520078365|3202539|CHAINS|PATTY LOVELESS|CHAINS
002520172581|16582606|RED NATION|THE GAME FEAT. LIL WAYNE |RED NATION
002520172581|17722156|MARTIANS VS GOBLINS|THE GAME|MARTIANS VS GOBLINS
002520172581|17321272|POT OF GOLD|THE GAME FEAT. CHRIS BROWN |POT OF GOLD
002520178126|852234|POISON|ALICE COOPER|POISON
002520178126|852230|NO MORE MR. NICE GUY|ALICE COOPER|NO MORE MR. NICE GUY
002520178126|2090884|THE BLACK WIDOW|ALICE COOPER|THE BLACK WIDOW
002520278610|18900156|A DROP IN THE OCEAN|JAVIER COLON|A DROP IN THE OCEAN
002520278610|18540999|AS LONG AS WE GOT LOVE|JAVIER COLON FEAT. NATASHA BEDINGFIELD |AS LONG AS WE GOT LOVE
002520278610|18593977|STAND UP|JAVIER COLON|STAND UP
002520375478|16866105|CLOSER|JOE|CLOSER
002520375478|15242861|HOW CAN YOU LOVE ME|EL DEBARGE|HOW CAN YOU LOVE ME
002520375478|16866129|INSEPARABLE|KAREN CLARK-SHEARD & KIRK WHAL|INSEPARABLE
002520376334|16452896|I FEEL LIKE DANCING|ALL TIME LOW|I FEEL LIKE DANCING
002520376334|16916607|TIME-BOMB|ALL TIME LOW|TIME-BOMB
002520376334|16916590|BAD ENOUGH FOR YOU|ALL TIME LOW|BAD ENOUGH FOR YOU
002520577792|80588|CLOSER TO THE HEART|RUSH|CLOSER TO THE HEART
002520577792|80594|SUBDIVISIONS|RUSH|SUBDIVISIONS
002520577792|3510151|NEW WORLD MAN|RUSH|NEW WORLD MAN
002520578406|17530910|EL POETA|CHINO & NACHO|EL POETA
002520578406|18283673|BEBE BONITA|CHINO & NACHO FEAT. JAY SEAN|BEBE BONITA
002520578406|18283645|REGáLAME UN MUACK|CHINO & NACHO|REGáLAME UN MUACK
002520676092|16866101|TAKE IT OFF|JOE NICHOLS|TAKE IT OFF
002520676092|17594242|THIS OLE BOY|JOE NICHOLS|THIS OLE BOY
002520676092|18345574|SHE'S JUST LIKE THAT|JOE NICHOLS|SHE'S JUST LIKE THAT
002520676692|2537606|DREAM ON|AEROSMITH|DREAM ON
002520676692|2537598|CRYIN'|AEROSMITH|CRYIN'
002520676692|2537600|JANIE'S GOT A GUN|AEROSMITH|JANIE'S GOT A GUN
002520676809|16769631|BRIGHTER THAN THE SUN|COLBIE CAILLAT|BRIGHTER THAN THE SUN
002520676809|16007063|I DO|COLBIE CAILLAT|I DO
002520676809|16954954|WHAT IF|COLBIE CAILLAT|WHAT IF
002520677302|18066707|SCALE IT BACK|DJ SHADOW FEAT. LITTLE DRAGON|SCALE IT BACK
002520677302|16916731|I GOTTA ROKK|DJ SHADOW|I GOTTA ROKK
002520677302|14714678|I'VE BEEN TRYING|DJ SHADOW|I'VE BEEN TRYING
002520677887|719392|FIELDS OF GOLD|STING|FIELDS OF GOLD
002520677887|1086792|DESERT ROSE|STING FEAT. CHEB MAMI|DESERT ROSE
002520677887|719390|IF I EVER LOSE MY FAITH IN YOU|STING|IF I EVER LOSE MY FAITH IN YOU
002520678093|3203660|I CROSS MY HEART|GEORGE STRAIT|I CROSS MY HEART
002520678093|3204353|CHECK YES OR NO |GEORGE STRAIT|CHECK YES OR NO 
002520678093|7350198|I SAW GOD TODAY|GEORGE STRAIT|I SAW GOD TODAY
002520778093|3203660|I CROSS MY HEART|GEORGE STRAIT|I CROSS MY HEART
002520778093|3204353|CHECK YES OR NO |GEORGE STRAIT|CHECK YES OR NO 
002520778093|7350198|I SAW GOD TODAY|GEORGE STRAIT|I SAW GOD TODAY
002520878337|17646511|I WON'T LET YOU GO|JAMES MORRISON|I WON'T LET YOU GO
002520878337|17646520|ONE LIFE|JAMES MORRISON|ONE LIFE
002520878337|17646512|UP|JAMES MORRISON FEAT. JESSIE J |UP
002520977469|1198858|HEAD LIKE A HOLE|NINE INCH NAILS|HEAD LIKE A HOLE
002520977469|1198859|TERRIBLE LIE|NINE INCH NAILS|TERRIBLE LIE
002520977469|1198861|SOMETHING I CAN NEVER HAVE|NINE INCH NAILS|SOMETHING I CAN NEVER HAVE
007310251801|17321003|LA DI DA DI DA|NIKKI JEAN|LA DI DA DI DA
007310251801|17321019|MILLION STAR MOTEL|NIKKI JEAN FEAT. LUPE FIASCO & BLACK THOUGHT|MILLION STAR MOTEL
007310251801|17321194|HOW TO UNRING A BELL|NIKKI JEAN|HOW TO UNRING A BELL
012410736221|8851450|WOMANIZER|BRITNEY SPEARS|WOMANIZER
012410736221|9117702|CIRCUS|BRITNEY SPEARS|CIRCUS
012410736221|16252402|TILL THE WORLD ENDS|BRITNEY SPEARS|TILL THE WORLD ENDS
015640005791|17128738|HYMNS THAT BROUGHT ME THROUGH|LASHUN PACE|HYMNS THAT BROUGHT ME THROUGH
015640005791|17128781|IT'S ME OH LORD (ACAPELLA PRAI|LASHUN PACE|IT'S ME OH LORD (ACAPELLA PRAI
015640005791|17128761|KEEP GOING ON|LASHUN PACE|KEEP GOING ON
015700078208|4580096|WORKIN' MAN BLUES|MERLE HAGGARD|WORKIN' MAN BLUES
015700078208|18108101|WHAT I HATE|MERLE HAGGARD|WHAT I HATE
015700078208|18108103|LAUGH IT OFF|MERLE HAGGARD|LAUGH IT OFF
015700078211|17970559|CAN'T HELP FALLING IN LOVE|CHRIS ISAAK|CAN'T HELP FALLING IN LOVE
015700078211|17970555|RING OF FIRE|CHRIS ISAAK|RING OF FIRE
015700078211|17970562|IT'S NOW OR NEVER|CHRIS ISAAK|IT'S NOW OR NEVER
015890014062|16581974|RUN AWAY|SARAH JAROSZ|RUN AWAY
015890014062|16581975|ANNABELLE LEE|SARAH JAROSZ|ANNABELLE LEE
015890014062|16517536|COME AROUND|SARAH JAROSZ|COME AROUND
020280161564|17180775|UPTOWN HUSTLE|DOWN TO THE BONE|UPTOWN HUSTLE
020280161564|17180778|MUSIC IS THE KEY|DOWN TO THE BONE|MUSIC IS THE KEY
020280161564|17180781|A UNIVERSAL VIBE|DOWN TO THE BONE|A UNIVERSAL VIBE
020610584892|3125249|THE DIARY OF JANE|BREAKING BENJAMIN|THE DIARY OF JANE
020610584892|11269094|I WILL NOT BOW|BREAKING BENJAMIN|I WILL NOT BOW
020610584892|3125252|BREATH|BREAKING BENJAMIN|BREATH
020611410102|413129|WE WILL ROCK YOU|QUEEN|WE WILL ROCK YOU
020611410102|413131|WE ARE THE CHAMPIONS|QUEEN|WE ARE THE CHAMPIONS
020611410102|413239|IT'S LATE|QUEEN|IT'S LATE
020641588500|2537069|SMELLS LIKE TEEN SPIRIT|NIRVANA|SMELLS LIKE TEEN SPIRIT
020641588500|2537819|COME AS YOU ARE|NIRVANA|COME AS YOU ARE
020641588500|2537071|LITHIUM|NIRVANA|LITHIUM
024350070072|17715226|JUST AS I AM|TRAVIS COTTRELL|JUST AS I AM
024350070072|17715231|WHEN THE STARS BURN DOWN|TRAVIS COTTRELL|WHEN THE STARS BURN DOWN
024350070072|17715229|THE WORD OF GOD HAS SPOKEN|TRAVIS COTTRELL|THE WORD OF GOD HAS SPOKEN
024350071592|18170252|GOD'S NOT DEAD (LIKE A LION)|NEWSBOYS|GOD'S NOT DEAD (LIKE A LION)
