fileid|datesaved|posttitle|artist|song
648314|10/1/2008 0:01||Traffic|Shootout At The Fantasy Factory
648315|10/1/2008 0:01|“Once again in the world of 1200 feelings”|Will Oldham|All These Vicious Dogs
648316|10/1/2008 0:02|you know that|Bronski Beat|Hit That Perfect Beat Boy (7inch Remix)
648317|10/1/2008 0:03|you know that|Wham!|Wham Rap! '86
648318|10/1/2008 0:03|you know that|Tears For Fears|The Working Hour
648319|10/1/2008 0:03|you know that|Debbie Gibson|Electric Youth
648320|10/1/2008 0:05|Sound Off!: Baby Venom|BABY VENOM|Frank
648321|10/1/2008 0:05|Sound Off!: Baby Venom|BABY VENOM|Take Out Breakfast
648322|10/1/2008 0:08|T.I.- Paper Trail (An Album Review)|T.I.|Live Your Life (Ft. Rihanna)
648323|10/1/2008 0:08|Blog Names: The Late Greats|Wilco|The Late Greats
648324|10/1/2008 0:09|Blog Names: Armagideon Time|The Clash|Armagideon Time
648325|10/1/2008 0:10|Futurecop!- NASA (Cryptonites Remix)|Futurecop|NASA (Cryptonites Remix)
648326|10/1/2008 0:11|jelimouso|Mah Damba|Sounafi
648327|10/1/2008 0:11|PENDULUM|Pendulum|Propane Nightmares (VIP Mix)
648328|10/1/2008 1:16|Ernest Gonzales|Ernest Gonzales|Lullaby No. 5
648329|10/1/2008 1:24|New David Banner|David Banner|When You Hear What I Got To Say
648330|10/1/2008 1:25|Portuguese Covers: Seu Jorge and Rita Lee|Rita Lee|Minha Vida (In My Life)
648331|10/1/2008 1:25|Portuguese Covers: Seu Jorge and Rita Lee|Seu Jorge|Changes
648332|10/1/2008 1:25|Portuguese Covers: Seu Jorge and Rita Lee|Seu Jorge|Life On Mars?
648334|10/1/2008 1:26|Portuguese Covers: Seu Jorge and Rita Lee|Seu Jorge|Space Oddity
648335|10/1/2008 1:26|Portuguese Covers: Seu Jorge and Rita Lee|Rita Lee|Aqui, El, Em Qualquer Lugar (Here There and Everywhere)
648336|10/1/2008 1:26|AME A SAMBA||samba
648337|10/1/2008 1:27|AME A SAMBA||curumin
648338|10/1/2008 1:27|Interlude: Wrapping Up|Ra Ra Riot|Dying Is Fine
648339|10/1/2008 1:27|Interlude: Wrapping Up|(Unknown Artist)|hazard lights (II)
648340|10/1/2008 1:28|Interlude: Wrapping Up|Yo La Tengo|The Summer
648341|10/1/2008 1:29|HELLO SAFERIDE|HelloSaferide| Anna
648342|10/1/2008 1:30|HELLO SAFERIDE|HelloSaferide|2006
648343|10/1/2008 1:30|HELLO SAFERIDE|HelloSaferide|Middle Class
648344|10/1/2008 1:30|HELLO SAFERIDE|HelloSaferide| Long Lost Penpal
648345|10/1/2008 1:31|"Mañana Make A Tiger"""""|Manana|Make a Tiger
648346|10/1/2008 1:33|All They Will Find is My Beer and My Shirt|Andrew Jackson Jihad|Candle in the Wind (Ben's Song)
648347|10/1/2008 1:40||The Wave Pictures|Dust Off Your Heart
648348|10/1/2008 1:50|laura marling, johnny flynn & mumford and sons at cafe du nord|mumford & sons|roll away your stone
648349|10/1/2008 1:50|laura marling, johnny flynn & mumford and sons at cafe du nord|laura marling|ghosts (live)
648350|10/1/2008 1:50|laura marling, johnny flynn & mumford and sons at cafe du nord|laura marling|my manic & i
648351|10/1/2008 1:51|laura marling, johnny flynn & mumford and sons at cafe du nord|johnny flynn & the sussex wit|the box
648352|10/1/2008 1:55|Saturday Night Circa 1982|David Morris|Saturday Night (Instrumental)
648353|10/1/2008 1:55|Saturday Night Circa 1982|David Morris|Saturday Night
648354|10/1/2008 1:55|I'm A Big Country|Big Country|All Of Us
648355|10/1/2008 1:56|I'm A Big Country|Big Country|In A Big Country (Pure Mix)
648356|10/1/2008 1:56|I'm A Big Country|David Bowie|Stay [*] [Live]
648357|10/1/2008 1:56|I'm A Big Country|P.M. Dawn|Set Adrift On Memory Bliss (Extended Version)
648358|10/1/2008 1:56|I'm A Big Country|P.M. Dawn|A Watcher's Point Of View (Don't 'Cha Think) (Youth Extended MIx)
648359|10/1/2008 1:57|I'm A Big Country|David Bowie|Word on a Wing [*] [Live]
648360|10/1/2008 1:59|Chairlift // Tribeca Grand // 9.30.2008|Chairlift|Garbage
648361|10/1/2008 2:01|D10|Easy Going|Baby I Love You (Extended Remix)
648362|10/1/2008 2:01|D10| Vivien Vee|(donnaslut.com) Vivien Vee - Gotta Go
648363|10/1/2008 2:03|D10|Vivien Vee|Wanna Feel
648364|10/1/2008 2:03|The B-Sides: Pacific Division Interview|Pacific Division|Fat Boys (Main)
648365|10/1/2008 2:04|The B-Sides: Pacific Division Interview|Pacific Division|Wake Up
648366|10/1/2008 2:04|Otis Redding-”A Change Is Gonna Come”|Otis Redding|Change Gonna Come
648367|10/1/2008 2:16|Interview with Amanda Petrusich, Part Three|Skip James|Devil Got My Woman
648368|10/1/2008 2:31|Classic Mashups|Basement Jaxx|Jus 1 kiss (The Isley Bootleg)
648369|10/1/2008 2:31|LE CASTLE VANIA + COMPUTER CLUB|Messiah 1|Relic (Gridlok Remix)
648370|10/1/2008 3:11|Crystal Stilts & Cause Co-Motion! Tour West Cost // Gear Up For Upcoming Releases|Crystal Stilts|Shattered Shine
648371|10/1/2008 3:12|Crystal Stilts & Cause Co-Motion! Tour West Cost // Gear Up For Upcoming Releases|caUSE Co-MOTION!|Which Way Is Up?
648372|10/1/2008 3:12|DJ Fac - Seven Nation Army's Going On|DJ Fac|white stripes vs backstreet boys - seven nation army's going on
648373|10/1/2008 3:13|Bootleg Justice: Drive-By Truckers Live @ Charlottesville Pavillion in Charlottesville, VA (9.20.2008)|Drive-By Truckers|Goodes Field Road
648374|10/1/2008 3:14|Bootleg Justice: Drive-By Truckers Live @ Charlottesville Pavillion in Charlottesville, VA (9.20.2008)|Drive-By Truckers|Let there Be Rock
648375|10/1/2008 3:14|Bootleg Justice: Drive-By Truckers Live @ Charlottesville Pavillion in Charlottesville, VA (9.20.2008)|Drive-By Truckers|Bulldozers and Dirt
648376|10/1/2008 3:14||White Lies|422743
648377|10/1/2008 3:15|Bootleg Justice: Drive-By Truckers Live @ Charlottesville Pavillion in Charlottesville, VA (9.20.2008)|Drive-By Truckers|3 dimes
648378|10/1/2008 3:15|Bootleg Justice: Drive-By Truckers Live @ Charlottesville Pavillion in Charlottesville, VA (9.20.2008)|Drive-By Truckers|Zip City
